period,segment,kpi_name,value
2024-Q1,Search Ads,paid_clicks,130.0
2024-Q1,Search Ads,cpc,0.3692
2024-Q1,Subscriptions,subscribers,88.0
2024-Q1,Subscriptions,arpu,238.64
2024-Q2,Search Ads,paid_clicks,134.5
2024-Q2,Search Ads,cpc,0.3732
2024-Q2,Subscriptions,subscribers,90.5
2024-Q2,Subscriptions,arpu,247.51
2024-Q3,Search Ads,paid_clicks,139.0
2024-Q3,Search Ads,cpc,0.3777
2024-Q3,Subscriptions,subscribers,91.5
2024-Q3,Subscriptions,arpu,249.18
2024-Q4,Search Ads,paid_clicks,148.0
2024-Q4,Search Ads,cpc,0.3919
2024-Q4,Subscriptions,subscribers,93.0
2024-Q4,Subscriptions,arpu,252.69
2025-Q1,Search Ads,paid_clicks,141.0
2025-Q1,Search Ads,cpc,0.3813
2025-Q1,Subscriptions,subscribers,94.5
2025-Q1,Subscriptions,arpu,241.27
2025-Q2,Search Ads,paid_clicks,148.0
2025-Q2,Search Ads,cpc,0.3833
2025-Q2,Subscriptions,subscribers,96.0
2025-Q2,Subscriptions,arpu,250.0
2025-Q3,Search Ads,paid_clicks,150.5
2025-Q3,Search Ads,cpc,0.3837
2025-Q3,Subscriptions,subscribers,97.2
2025-Q3,Subscriptions,arpu,251.03
2025-Q4,Search Ads,paid_clicks,165.0
2025-Q4,Search Ads,cpc,0.4042
2025-Q4,Subscriptions,subscribers,98.8
2025-Q4,Subscriptions,arpu,255.06
2026-Q1,Search Ads,paid_clicks,152.0
2026-Q1,Search Ads,cpc,0.3926
2026-Q1,Subscriptions,subscribers,100.0
2026-Q1,Subscriptions,arpu,245.0
2026-Q2,Search Ads,paid_clicks,167.24
2026-Q2,Search Ads,cpc,0.3947
2026-Q2,Subscriptions,subscribers,101.8
2026-Q2,Subscriptions,arpu,255.15
