period,metric,segment_dim,segment,value,currency
2024-Q1,Revenue,total,,111000,USD
2024-Q1,Revenue,product,Cloud,9000,USD
2024-Q1,Revenue,product,Search Ads,48000,USD
2024-Q1,Revenue,product,Subscriptions,21000,USD
2024-Q1,Revenue,product,Devices & Network,33000,USD
2024-Q1,Revenue,geography,Americas,59820.0,USD
2024-Q1,Revenue,geography,EMEA,30630.0,USD
2024-Q1,Revenue,geography,APAC,20550.0,USD
2024-Q1,Revenue,user_type,Advertisers,52950.0,USD
2024-Q1,Revenue,user_type,Enterprise,8880.0,USD
2024-Q1,Revenue,user_type,Consumers,49170.0,USD
2024-Q1,COGS,total,,55860.0,USD
2024-Q1,COGS,product,Cloud,4500.0,USD
2024-Q1,COGS,product,Search Ads,16800.0,USD
2024-Q1,COGS,product,Subscriptions,8820.0,USD
2024-Q1,COGS,product,Devices & Network,25740.0,USD
2024-Q1,R&D,total,,10400,USD
2024-Q1,S&M,total,,9300,USD
2024-Q1,G&A,total,,4700,USD
2024-Q1,CapEx,total,,6300,USD
2024-Q1,Operating cash flow,total,,41000,USD
2024-Q1,Gross profit,total,,55140.0,USD
2024-Q1,Operating income,total,,30740.0,USD
2024-Q1,Free cash flow,total,,34700,USD
2024-Q2,Revenue,total,,118296,USD
2024-Q2,Revenue,product,Cloud,10896,USD
2024-Q2,Revenue,product,Search Ads,50200,USD
2024-Q2,Revenue,product,Subscriptions,22400,USD
2024-Q2,Revenue,product,Devices & Network,34800,USD
2024-Q2,Revenue,geography,Americas,63680.08,USD
2024-Q2,Revenue,geography,EMEA,32644.88,USD
2024-Q2,Revenue,geography,APAC,21971.04,USD
2024-Q2,Revenue,user_type,Advertisers,55420.0,USD
2024-Q2,Revenue,user_type,Enterprise,10235.52,USD
2024-Q2,Revenue,user_type,Consumers,52640.48,USD
2024-Q2,COGS,total,,59570.0,USD
2024-Q2,COGS,product,Cloud,5448.0,USD
2024-Q2,COGS,product,Search Ads,17570.0,USD
2024-Q2,COGS,product,Subscriptions,9408.0,USD
2024-Q2,COGS,product,Devices & Network,27144.0,USD
2024-Q2,R&D,total,,10900,USD
2024-Q2,S&M,total,,9800,USD
