company,period,product,parent_product,geography,revenue,users,arpu
Alphabet,2024-Q3,Search,Advertising,US,23040.0,27237358.365531784,845.8970099375188
Alphabet,2024-Q3,Search,Advertising,EU,10560.0,13600880.235572925,776.4203358235931
Alphabet,2024-Q3,Search,Advertising,APAC,8640.0,9730151.955756752,887.961466510112
Alphabet,2024-Q3,Search,Advertising,LATAM,2400.0,3154662.1582861,760.7787710947466
Alphabet,2024-Q3,Search,Advertising,ROW,3360.0000000000005,4428168.707457372,758.7786784955834
Alphabet,2024-Q3,YouTube_Ads,Advertising,US,3870.0,3161758.2763997647,1224.0024890222464
Alphabet,2024-Q3,YouTube_Ads,Advertising,EU,1720.0,2011077.435048654,855.2629401653985
Alphabet,2024-Q3,YouTube_Ads,Advertising,APAC,1892.0,2291827.2607824844,825.5421481259569
Alphabet,2024-Q3,YouTube_Ads,Advertising,LATAM,516.0,454625.87795493857,1134.9991828910906
Alphabet,2024-Q3,YouTube_Ads,Advertising,ROW,602.0000000000001,657083.7316100424,916.169387613552
Alphabet,2024-Q3,Network,Advertising,US,3000.0,3428753.6953135696,874.9534864812274
Alphabet,2024-Q3,Network,Advertising,EU,1875.0,1940571.3755941815,966.2102737271881
Alphabet,2024-Q3,Network,Advertising,APAC,1500.0,1275613.8092241464,1175.9044854745887
Alphabet,2024-Q3,Network,Advertising,LATAM,600.0,795534.3230918533,754.2100731343597
Alphabet,2024-Q3,Network,Advertising,ROW,525.0,561856.9004945254,934.4016235057621
Alphabet,2024-Q3,Cloud,Cloud,US,5500.0,5735021.071411043,959.0200160584208
Alphabet,2024-Q3,Cloud,Cloud,EU,2000.0,1838215.6534111064,1088.0116249084685
Alphabet,2024-Q3,Cloud,Cloud,APAC,1800.0,1538013.2892686515,1170.340992863545
Alphabet,2024-Q3,Cloud,Cloud,LATAM,300.0,344459.8294776331,870.9288408315837
Alphabet,2024-Q3,Cloud,Cloud,ROW,400.0,391687.0718765414,1021.2233916315696
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,US,2750.0,3308791.548627993,831.1191441299169
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,EU,1375.0,1264600.241273776,1087.3001246742
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,APAC,825.0,1126345.9897007165,732.4569959353363
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,LATAM,275.0,280243.1777603967,981.2906140934517
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,ROW,275.0,237406.72112908788,1158.3496823178443
Alphabet,2024-Q3,Devices,Subscriptions_Devices,US,1344.0,1582512.8134016215,849.2822229420458
Alphabet,2024-Q3,Devices,Subscriptions_Devices,EU,896.0000000000001,1215238.2877292857,737.3039584476941
Alphabet,2024-Q3,Devices,Subscriptions_Devices,APAC,640.0,681104.827410861,939.6497781888933
Alphabet,2024-Q3,Devices,Subscriptions_Devices,LATAM,160.0,219640.68739431078,728.462480691291
Alphabet,2024-Q3,Devices,Subscriptions_Devices,ROW,160.0,175989.99811401413,909.142574661231
Alphabet,2024-Q3,Other,Other,US,180.0,189924.69148370015,947.744069472126
Alphabet,2024-Q3,Other,Other,EU,60.0,70327.6842725536,853.1490922901876
Alphabet,2024-Q3,Other,Other,APAC,45.0,62867.605641353744,715.7899452496312
Alphabet,2024-Q3,Other,Other,LATAM,9.0,12324.295844663931,730.26484542699
Alphabet,2024-Q3,Other,Other,ROW,6.0,6456.162501512746,929.3446375604917
Alphabet,2024-Q4,Search,Advertising,US,24960.0,31315747.18733697,797.0430930702167
Alphabet,2024-Q4,Search,Advertising,EU,11440.0,11998197.749977324,953.4765335920239
Alphabet,2024-Q4,Search,Advertising,APAC,9360.0,8133461.668505564,1150.8015137323193
Alphabet,2024-Q4,Search,Advertising,LATAM,2600.0,2102941.8357459763,1236.3632487618006
Alphabet,2024-Q4,Search,Advertising,ROW,3640.0000000000005,3236900.602715776,1124.5325225451847
Alphabet,2024-Q4,YouTube_Ads,Advertising,US,4320.0,4700128.698509901,919.1237681150275
Alphabet,2024-Q4,YouTube_Ads,Advertising,EU,1920.0,1842582.073680721,1042.0159988665416
Alphabet,2024-Q4,YouTube_Ads,Advertising,APAC,2112.0,1740935.1732179844,1213.1410936434415
Alphabet,2024-Q4,YouTube_Ads,Advertising,LATAM,576.0,709362.3534889214,811.9968548753776
Alphabet,2024-Q4,YouTube_Ads,Advertising,ROW,672.0000000000001,912214.8218253531,736.6685827964512
Alphabet,2024-Q4,Network,Advertising,US,3120.0,3140548.2803213224,993.4571041464072
Alphabet,2024-Q4,Network,Advertising,EU,1950.0,1862871.5740099908,1046.7710319946843
Alphabet,2024-Q4,Network,Advertising,APAC,1560.0,1364583.2046618252,1143.2062146672863
Alphabet,2024-Q4,Network,Advertising,LATAM,624.0,802355.714501744,777.709921823762
Alphabet,2024-Q4,Network,Advertising,ROW,546.0,704816.4300900704,774.6697958363786
Alphabet,2024-Q4,Cloud,Cloud,US,6050.000000000001,6845979.783192273,883.7303339477425
Alphabet,2024-Q4,Cloud,Cloud,EU,2200.0,2543979.946129382,864.7866911636858
Alphabet,2024-Q4,Cloud,Cloud,APAC,1980.0,2591769.9554307717,763.9566913919678
Alphabet,2024-Q4,Cloud,Cloud,LATAM,330.0,292803.7605609333,1127.0347053187045
Alphabet,2024-Q4,Cloud,Cloud,ROW,440.0,459318.7289015054,957.9404720819733
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,US,3000.0,4037926.1309921346,742.9556417523884
