company,period,product,parent_product,revenue,direct_cost,operating_income
Alphabet,2024-Q3,Search,Advertising,48000.0,9600.0,31200.0
Alphabet,2024-Q3,YouTube_Ads,Advertising,8600.0,1720.0,5590.0
Alphabet,2024-Q3,Network,Advertising,7500.0,4875.0,1500.0
Alphabet,2024-Q3,Cloud,Cloud,10000.0,3500.0,5000.0
Alphabet,2024-Q3,Subscriptions,Subscriptions_Devices,5500.0,1924.9999999999998,2750.0
Alphabet,2024-Q3,Devices,Subscriptions_Devices,3200.0,1120.0,1600.0
Alphabet,2024-Q3,Other,Other,300.0,105.0,150.0
Alphabet,2024-Q4,Search,Advertising,52000.0,10400.0,33800.0
Alphabet,2024-Q4,YouTube_Ads,Advertising,9600.0,1920.0,6240.0
Alphabet,2024-Q4,Network,Advertising,7800.0,5070.0,1560.0
Alphabet,2024-Q4,Cloud,Cloud,11000.0,3849.9999999999995,5500.0
Alphabet,2024-Q4,Subscriptions,Subscriptions_Devices,6000.0,2100.0,3000.0
Alphabet,2024-Q4,Devices,Subscriptions_Devices,4500.0,1575.0,2250.0
Alphabet,2024-Q4,Other,Other,350.0,122.49999999999999,175.0
Alphabet,2025-Q1,Search,Advertising,50700.0,10140.0,32955.0
Alphabet,2025-Q1,YouTube_Ads,Advertising,8900.0,1780.0,5785.0
Alphabet,2025-Q1,Network,Advertising,7400.0,4810.0,1480.0
Alphabet,2025-Q1,Cloud,Cloud,12000.0,4200.0,6000.0
Alphabet,2025-Q1,Subscriptions,Subscriptions_Devices,6200.0,2170.0,3100.0
Alphabet,2025-Q1,Devices,Subscriptions_Devices,3000.0,1050.0,1500.0
Alphabet,2025-Q1,Other,Other,400.0,140.0,200.0
Alphabet,2025-Q2,Search,Advertising,54190.0,10838.0,35223.5
Alphabet,2025-Q2,YouTube_Ads,Advertising,9796.0,1959.2,6367.400000000001
Alphabet,2025-Q2,Network,Advertising,7354.0,4780.1,1470.7999999999997
Alphabet,2025-Q2,Cloud,Cloud,13624.0,4768.4,6812.0
Alphabet,2025-Q2,Subscriptions,Subscriptions_Devices,7000.0,2450.0,3500.0
Alphabet,2025-Q2,Devices,Subscriptions_Devices,4203.0,1471.05,2101.5
Alphabet,2025-Q2,Other,Other,261.0,91.35,130.5
Alphabet,2025-Q3,Search,Advertising,56800.0,11360.0,36920.0
Alphabet,2025-Q3,YouTube_Ads,Advertising,10200.0,2040.0,6630.0
Alphabet,2025-Q3,Network,Advertising,7200.0,4680.0,1440.0
Alphabet,2025-Q3,Cloud,Cloud,15500.0,5425.0,7750.0
Alphabet,2025-Q3,Subscriptions,Subscriptions_Devices,7500.0,2625.0,3750.0
Alphabet,2025-Q3,Devices,Subscriptions_Devices,3800.0,1330.0,1900.0
Alphabet,2025-Q3,Other,Other,280.0,98.0,140.0
Alphabet,2025-Q4,Search,Advertising,59000.0,11800.0,38350.0
Alphabet,2025-Q4,YouTube_Ads,Advertising,10500.0,2100.0,6825.0
Alphabet,2025-Q4,Network,Advertising,7100.0,4615.0,1420.0
Alphabet,2025-Q4,Cloud,Cloud,18000.0,6300.0,9000.0
Alphabet,2025-Q4,Subscriptions,Subscriptions_Devices,8000.0,2800.0,4000.0
Alphabet,2025-Q4,Devices,Subscriptions_Devices,5000.0,1750.0,2500.0
Alphabet,2025-Q4,Other,Other,300.0,105.0,150.0
Alphabet,2026-Q1,Search,Advertising,61000.0,12200.0,39650.0
Alphabet,2026-Q1,YouTube_Ads,Advertising,10800.0,2160.0,7020.0
Alphabet,2026-Q1,Network,Advertising,7350.0,4777.5,1470.0
Alphabet,2026-Q1,Cloud,Cloud,20000.0,7000.0,10000.0
Alphabet,2026-Q1,Subscriptions,Subscriptions_Devices,8500.0,2975.0,4250.0
Alphabet,2026-Q1,Devices,Subscriptions_Devices,3600.0,1260.0,1800.0
Alphabet,2026-Q1,Other,Other,350.0,122.49999999999999,175.0
Alphabet,2026-Q2,Search,Advertising,63271.0,12654.2,41126.15
Alphabet,2026-Q2,YouTube_Ads,Advertising,11055.0,2211.0,7185.75
Alphabet,2026-Q2,Network,Advertising,7303.0,4746.95,1460.6000000000001
Alphabet,2026-Q2,Cloud,Cloud,24768.0,8668.8,12384.0
Alphabet,2026-Q2,Subscriptions,Subscriptions_Devices,9000.0,3150.0,4500.0
Alphabet,2026-Q2,Devices,Subscriptions_Devices,3911.0,1368.85,1955.5
Alphabet,2026-Q2,Other,Other,488.0,170.79999999999998,244.00000000000006
