company,period,product,parent_product,geography,user_class,user_segment,revenue,users,arpu,impressions,clicks,ctr,cpc,cpm,rpm,revenue_per_click,revenue_per_impression
Alphabet,2024-Q3,Search,Advertising,US,advertiser,enterprise_advertiser,12672.000000000002,178207656.31966949,,100571428571.4286,4525714285.714287,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Search,Advertising,US,advertiser,smb_advertiser,8063.999999999999,276664096.99931294,,164571428571.42856,5760000000.0,0.035,1.4,48.99999999999999,48.99999999999999,1.4,0.048999999999999995
Alphabet,2024-Q3,Search,Advertising,US,advertiser,agency_advertiser,2304.0,56663486.54658237,,28800000000.0,1152000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Search,Advertising,EU,advertiser,enterprise_advertiser,5808.000000000001,54222445.85055365,,46095238095.23811,2074285714.2857149,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Search,Advertising,EU,advertiser,smb_advertiser,3695.9999999999995,82159255.99999107,,75428571428.57143,2640000000.0,0.035,1.4,48.99999999999999,48.99999999999999,1.4,0.048999999999999995
Alphabet,2024-Q3,Search,Advertising,EU,advertiser,agency_advertiser,1056.0,15264557.672771376,,13200000000.0,528000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Search,Advertising,APAC,advertiser,enterprise_advertiser,4752.0,43852179.28486675,,37714285714.28572,1697142857.1428573,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Search,Advertising,APAC,advertiser,smb_advertiser,3024.0,59476161.91562755,,61714285714.285706,2160000000.0,0.035,1.4,49.00000000000001,49.00000000000001,1.4,0.04900000000000001
Alphabet,2024-Q3,Search,Advertising,APAC,advertiser,agency_advertiser,864.0,21541009.940612473,,10800000000.0,432000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Search,Advertising,LATAM,advertiser,enterprise_advertiser,1320.0,22805492.969909444,,10476190476.190477,471428571.42857146,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Search,Advertising,LATAM,advertiser,smb_advertiser,840.0,17344494.859898727,,17142857142.857141,600000000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Search,Advertising,LATAM,advertiser,agency_advertiser,240.0,5103535.333693058,,3000000000.0,120000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Search,Advertising,ROW,advertiser,enterprise_advertiser,1848.0000000000005,21408258.324310873,,14666666666.666672,660000000.0000002,0.045,2.8,126.0,126.0,2.8,0.126
Alphabet,2024-Q3,Search,Advertising,ROW,advertiser,smb_advertiser,1176.0,32314854.011710618,,23999999999.999996,840000000.0,0.035,1.4,49.00000000000001,49.00000000000001,1.4,0.04900000000000001
Alphabet,2024-Q3,Search,Advertising,ROW,advertiser,agency_advertiser,336.00000000000006,5904319.568519526,,4200000000.0000005,168000000.00000003,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,YouTube_Ads,Advertising,US,advertiser,enterprise_advertiser,2128.5,33807252.46556072,,16892857142.857143,760178571.4285715,0.045,2.8,126.0,126.0,2.8,0.126
Alphabet,2024-Q3,YouTube_Ads,Advertising,US,advertiser,smb_advertiser,1354.5,28956239.10109761,,27642857142.857143,967500000.0000001,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,YouTube_Ads,Advertising,US,advertiser,agency_advertiser,387.0,5873641.091093046,,4837500000.0,193500000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,YouTube_Ads,Advertising,EU,advertiser,enterprise_advertiser,946.0000000000001,12208666.022531936,,7507936507.93651,337857142.8571429,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,YouTube_Ads,Advertising,EU,advertiser,smb_advertiser,602.0,10765017.545090538,,12285714285.714285,430000000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,YouTube_Ads,Advertising,EU,advertiser,agency_advertiser,172.0,2170801.3360951855,,2150000000.0,86000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,YouTube_Ads,Advertising,APAC,advertiser,enterprise_advertiser,1040.6000000000001,11258770.891434934,,8258730158.73016,371642857.1428572,0.045,2.8,126.0,126.0,2.8,0.126
Alphabet,2024-Q3,YouTube_Ads,Advertising,APAC,advertiser,smb_advertiser,662.1999999999999,14006956.554680802,,13514285714.285711,472999999.99999994,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,YouTube_Ads,Advertising,APAC,advertiser,agency_advertiser,189.20000000000002,3405520.2247864264,,2365000000.0000005,94600000.00000001,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,YouTube_Ads,Advertising,LATAM,advertiser,enterprise_advertiser,283.8,2943881.1896255943,,2252380952.380953,101357142.85714287,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,YouTube_Ads,Advertising,LATAM,advertiser,smb_advertiser,180.6,4228525.73002929,,3685714285.714286,129000000.00000001,0.035,1.4,48.99999999999999,48.99999999999999,1.4,0.048999999999999995
Alphabet,2024-Q3,YouTube_Ads,Advertising,LATAM,advertiser,agency_advertiser,51.6,984551.0390588605,,645000000.0,25800000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,YouTube_Ads,Advertising,ROW,advertiser,enterprise_advertiser,331.1000000000001,3129154.8389551183,,2627777777.7777786,118250000.00000003,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,YouTube_Ads,Advertising,ROW,advertiser,smb_advertiser,210.70000000000002,3890812.144565121,,4300000000.0,150500000.00000003,0.035,1.4,49.00000000000001,49.00000000000001,1.4,0.04900000000000001
Alphabet,2024-Q3,YouTube_Ads,Advertising,ROW,advertiser,agency_advertiser,60.20000000000002,1108414.5853864523,,752500000.0000001,30100000.000000007,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Network,Advertising,US,advertiser,enterprise_advertiser,1650.0000000000002,22289861.550015252,,13095238095.238098,589285714.2857144,0.045,2.8,126.0,126.0,2.8,0.126
Alphabet,2024-Q3,Network,Advertising,US,advertiser,smb_advertiser,1050.0,23521294.166508216,,21428571428.571426,750000000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Network,Advertising,US,advertiser,agency_advertiser,300.0,5605753.100066214,,3750000000.0,150000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Network,Advertising,EU,advertiser,enterprise_advertiser,1031.25,9742066.569277497,,8184523809.52381,368303571.42857146,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Network,Advertising,EU,advertiser,smb_advertiser,656.25,19099013.95183966,,13392857142.857141,468750000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Network,Advertising,EU,advertiser,agency_advertiser,187.5,2887837.0650887936,,2343750000.0,93750000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Network,Advertising,APAC,advertiser,enterprise_advertiser,825.0000000000001,8038736.203101172,,6547619047.619049,294642857.1428572,0.045,2.8,126.0,126.0,2.8,0.126
Alphabet,2024-Q3,Network,Advertising,APAC,advertiser,smb_advertiser,525.0,10491868.254493736,,10714285714.285713,375000000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Network,Advertising,APAC,advertiser,agency_advertiser,150.0,3025732.17469694,,1875000000.0,75000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Network,Advertising,LATAM,advertiser,enterprise_advertiser,330.0,5566819.4665840175,,2619047619.0476193,117857142.85714287,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Network,Advertising,LATAM,advertiser,smb_advertiser,210.0,5613280.618493903,,4285714285.7142854,150000000.0,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Network,Advertising,LATAM,advertiser,agency_advertiser,60.0,1304030.9274138622,,750000000.0,30000000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Network,Advertising,ROW,advertiser,enterprise_advertiser,288.75,2870444.98885234,,2291666666.666667,103125000.0,0.045,2.8,125.99999999999997,125.99999999999997,2.8,0.12599999999999997
Alphabet,2024-Q3,Network,Advertising,ROW,advertiser,smb_advertiser,183.75,5332581.60011099,,3750000000.0,131250000.00000001,0.035,1.4,49.0,49.0,1.4,0.049
Alphabet,2024-Q3,Network,Advertising,ROW,advertiser,agency_advertiser,52.5,1247598.3125741319,,656250000.0,26250000.0,0.04,2.0,80.0,80.0,2.0,0.08
Alphabet,2024-Q3,Cloud,Cloud,US,customer,enterprise,3300.0,6600.0,500000.0,,,,,,,,
Alphabet,2024-Q3,Cloud,Cloud,US,customer,midmarket,1375.0,2750.0,500000.0,,,,,,,,
Alphabet,2024-Q3,Cloud,Cloud,US,customer,smb,825.0,1650.0,500000.0,,,,,,,,
Alphabet,2024-Q3,Cloud,Cloud,EU,customer,enterprise,1200.0,2400.0,500000.0,,,,,,,,
