company,quarter,product_segment,geography,user_segment,revenue_model,active_users,subscription_revenue_usd,ad_revenue_usd,revenue_usd,arpu,ad_impressions,ctr,ad_clicks,cpc,ecpm
OmniCorp,2025-Q2,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1873872,47517447.02,2368574.45,49886021.47,26.62,104619013.0,0.0071,742110.0,3.19,22.64
OmniCorp,2025-Q3,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1806685,44750713.67,4527564.47,49278278.14,27.28,174876959.0,0.0136,2385005.0,1.9,25.89
OmniCorp,2025-Q4,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1830763,46634332.5,4189635.88,50823968.38,27.76,175739760.0,0.0084,1480101.0,2.83,23.84
OmniCorp,2026-Q1,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1766207,44719865.79,3864690.78,48584556.57,27.51,207779074.0,0.0104,2170338.0,1.78,18.6
OmniCorp,2026-Q2,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1903607,46990293.93,6314488.57,53304782.5,28.0,256061986.0,0.0099,2546177.0,2.48,24.66
OmniCorp,2025-Q2,OmniCorp_Core,NA,Consumer_Premium,subscription,6467045,281043236.72,,281043236.72,43.46,,,,,
OmniCorp,2025-Q3,OmniCorp_Core,NA,Consumer_Premium,subscription,6847185,291449753.23,,291449753.23,42.56,,,,,
OmniCorp,2025-Q4,OmniCorp_Core,NA,Consumer_Premium,subscription,6263668,263891365.76,,263891365.76,42.13,,,,,
OmniCorp,2026-Q1,OmniCorp_Core,NA,Consumer_Premium,subscription,6511733,287833437.6,,287833437.6,44.2,,,,,
OmniCorp,2026-Q2,OmniCorp_Core,NA,Consumer_Premium,subscription,6351243,267402242.26,,267402242.26,42.1,,,,,
OmniCorp,2025-Q2,OmniCorp_Core,NA,Enterprise_SMB,subscription,70361,126229936.53,,126229936.53,1794.03,,,,,
OmniCorp,2025-Q3,OmniCorp_Core,NA,Enterprise_SMB,subscription,67028,119335248.09,,119335248.09,1780.38,,,,,
OmniCorp,2025-Q4,OmniCorp_Core,NA,Enterprise_SMB,subscription,68879,122589987.89,,122589987.89,1779.79,,,,,
OmniCorp,2026-Q1,OmniCorp_Core,NA,Enterprise_SMB,subscription,70664,125782131.99,,125782131.99,1780.0,,,,,
OmniCorp,2026-Q2,OmniCorp_Core,NA,Enterprise_SMB,subscription,70209,124491322.92,,124491322.92,1773.15,,,,,
OmniCorp,2025-Q2,OmniCorp_Core,NA,Enterprise_Corp,subscription,6647,499301044.85,,499301044.85,75116.75,,,,,
OmniCorp,2025-Q3,OmniCorp_Core,NA,Enterprise_Corp,subscription,6434,495572884.58,,495572884.58,77024.07,,,,,
OmniCorp,2025-Q4,OmniCorp_Core,NA,Enterprise_Corp,subscription,6362,492427881.4,,492427881.4,77401.43,,,,,
OmniCorp,2026-Q1,OmniCorp_Core,NA,Enterprise_Corp,subscription,6841,521692633.63,,521692633.63,76259.7,,,,,
OmniCorp,2026-Q2,OmniCorp_Core,NA,Enterprise_Corp,subscription,6723,502076839.14,,502076839.14,74680.48,,,,,
OmniCorp,2025-Q2,OmniCorp_Core,NA,Advertiser,advertiser,475,,9235253.37,9235253.37,19442.64,356435869.0,0.0172,6121211.0,1.51,25.91
OmniCorp,2025-Q3,OmniCorp_Core,NA,Advertiser,advertiser,465,,5882260.86,5882260.86,12650.02,277465135.0,0.0089,2468677.0,2.38,21.2
OmniCorp,2025-Q4,OmniCorp_Core,NA,Advertiser,advertiser,457,,5574305.8,5574305.8,12197.61,219115794.0,0.0168,3672806.0,1.52,25.44
OmniCorp,2026-Q1,OmniCorp_Core,NA,Advertiser,advertiser,475,,6785938.25,6785938.25,14286.19,282394434.0,0.0158,4469485.0,1.52,24.03
OmniCorp,2026-Q2,OmniCorp_Core,NA,Advertiser,advertiser,467,,10780783.08,10780783.08,23085.19,428148653.0,0.0159,6828067.0,1.58,25.18
