company,quarter,product_segment,geography,user_segment,revenue_model,active_users,subscription_revenue_usd,ad_revenue_usd,revenue_usd,arpu,ad_impressions,ctr,ad_clicks,cpc,ecpm
OmniCorp,2026-Q3,OmniCorp_Core,NA,Consumer_Standard,ad_supported,1849622,46302510.44,4563583.58,50866094.02,27.5,228521962.0,0.0174,3981982.0,1.15,19.97
OmniCorp,2026-Q3,OmniCorp_Core,NA,Consumer_Premium,subscription,6427342,304651233.44,,304651233.44,47.4,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,NA,Enterprise_SMB,subscription,190152,334014334.13,,334014334.13,1756.56,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,NA,Enterprise_Corp,subscription,7845,392736316.76,,392736316.76,50061.99,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,NA,Advertiser,advertiser,3826,,44640639.87,44640639.87,11667.71,1726242841.0,0.0192,33138533.0,1.35,25.86
OmniCorp,2026-Q3,OmniCorp_Core,EMEA,Consumer_Standard,ad_supported,1213514,25078824.06,1334047.31,26412871.37,21.77,103015236.0,0.0129,1329458.0,1.0,12.95
OmniCorp,2026-Q3,OmniCorp_Core,EMEA,Consumer_Premium,subscription,1310208,46653488.38,,46653488.38,35.61,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,EMEA,Enterprise_SMB,subscription,157167,229491826.11,,229491826.11,1460.18,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,EMEA,Enterprise_Corp,subscription,3365,101180679.16,,101180679.16,30068.55,,,,,
OmniCorp,2026-Q3,OmniCorp_Core,EMEA,Advertiser,advertiser,2225,,4220832.39,4220832.39,1897.0,433795724.0,0.0166,7190491.0,0.59,9.73
OmniCorp,2026-Q3,OmniCorp_Digital,NA,Consumer_Standard,ad_supported,4228535,124732582.19,6684159.92,131416742.11,31.08,593619886.0,0.009,5364875.0,1.25,11.26
OmniCorp,2026-Q3,OmniCorp_Digital,NA,Consumer_Premium,subscription,4743764,231960117.96,,231960117.96,48.9,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,NA,Enterprise_SMB,subscription,98080,71668376.74,,71668376.74,730.71,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,NA,Enterprise_Corp,subscription,16904,1020808137.53,,1020808137.53,60388.56,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,NA,Advertiser,advertiser,144,,1604808.84,1604808.84,11144.51,74022548.0,0.0138,1018158.0,1.58,21.68
OmniCorp,2026-Q3,OmniCorp_Digital,EMEA,Consumer_Standard,ad_supported,4196715,66668575.68,3596785.49,70265361.17,16.74,311140613.0,0.0074,2286982.0,1.57,11.56
OmniCorp,2026-Q3,OmniCorp_Digital,EMEA,Consumer_Premium,subscription,3553309,119145093.68,,119145093.68,33.53,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,EMEA,Enterprise_SMB,subscription,107754,138874076.29,,138874076.29,1288.81,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,EMEA,Enterprise_Corp,subscription,14315,452894581.17,,452894581.17,31637.76,,,,,
OmniCorp,2026-Q3,OmniCorp_Digital,EMEA,Advertiser,advertiser,1808,,16110160.9,16110160.9,8910.49,952137169.0,0.0129,12317460.0,1.31,16.92
AlphaMedia,2026-Q3,AlphaMedia_Core,NA,Consumer_Standard,ad_supported,3473585,93425086.87,6021251.02,99446337.89,28.63,321476296.0,0.0078,2504539.0,2.4,18.73
AlphaMedia,2026-Q3,AlphaMedia_Core,NA,Consumer_Premium,subscription,1041106,56906926.14,,56906926.14,54.66,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,NA,Enterprise_SMB,subscription,128605,87465304.59,,87465304.59,680.11,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,NA,Enterprise_Corp,subscription,9328,439427402.03,,439427402.03,47108.43,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,NA,Advertiser,advertiser,3141,,131001939.89,131001939.89,41707.08,4254691130.0,0.0118,50042446.0,2.62,30.79
AlphaMedia,2026-Q3,AlphaMedia_Core,EMEA,Consumer_Standard,ad_supported,5326869,113640862.28,6380254.99,120021117.27,22.53,758651010.0,0.0086,6554974.0,0.97,8.41
AlphaMedia,2026-Q3,AlphaMedia_Core,EMEA,Consumer_Premium,subscription,8147995,304263482.55,,304263482.55,37.34,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,EMEA,Enterprise_SMB,subscription,104549,165991013.64,,165991013.64,1587.69,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,EMEA,Enterprise_Corp,subscription,10968,290140657.73,,290140657.73,26453.38,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Core,EMEA,Advertiser,advertiser,2372,,8625179.28,8625179.28,3636.25,472871671.0,0.0099,4663823.0,1.85,18.24
AlphaMedia,2026-Q3,AlphaMedia_Digital,NA,Consumer_Standard,ad_supported,12549912,360641543.82,55368953.33,416010497.15,33.15,2422088947.0,0.0172,41558335.0,1.33,22.86
AlphaMedia,2026-Q3,AlphaMedia_Digital,NA,Consumer_Premium,subscription,7765088,368520495.61,,368520495.61,47.46,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,NA,Enterprise_SMB,subscription,128405,147709397.78,,147709397.78,1150.34,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,NA,Enterprise_Corp,subscription,13499,889612265.3,,889612265.3,65902.09,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,NA,Advertiser,advertiser,1623,,8995891.0,8995891.0,5542.75,412844929.0,0.0168,6938542.0,1.3,21.79
AlphaMedia,2026-Q3,AlphaMedia_Digital,EMEA,Consumer_Standard,ad_supported,10267933,137610865.06,12496500.71,150107365.77,14.62,1587865401.0,0.0079,12604683.0,0.99,7.87
AlphaMedia,2026-Q3,AlphaMedia_Digital,EMEA,Consumer_Premium,subscription,4511393,183232214.79,,183232214.79,40.62,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,EMEA,Enterprise_SMB,subscription,2803,4261041.76,,4261041.76,1520.17,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,EMEA,Enterprise_Corp,subscription,14716,917393590.93,,917393590.93,62339.87,,,,,
AlphaMedia,2026-Q3,AlphaMedia_Digital,EMEA,Advertiser,advertiser,1680,,15564863.99,15564863.99,9264.8,1036275898.0,0.012,12418905.0,1.25,15.02
AetherSoft,2026-Q3,AetherSoft_Core,NA,Consumer_Standard,ad_supported,7627892,183532458.89,15673444.07,199205902.96,26.12,413656481.0,0.0121,5003763.0,3.13,37.89
AetherSoft,2026-Q3,AetherSoft_Core,NA,Consumer_Premium,subscription,5087483,264374551.72,,264374551.72,51.97,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,NA,Enterprise_SMB,subscription,191856,124525790.06,,124525790.06,649.06,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,NA,Enterprise_Corp,subscription,8956,494421084.15,,494421084.15,55205.57,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,NA,Advertiser,advertiser,814,,15964773.59,15964773.59,19612.74,512019679.0,0.0197,10109934.0,1.58,31.18
AetherSoft,2026-Q3,AetherSoft_Core,EMEA,Consumer_Standard,ad_supported,4569704,71419120.71,2705292.16,74124412.87,16.22,182420240.0,0.004,729680.0,3.71,14.83
AetherSoft,2026-Q3,AetherSoft_Core,EMEA,Consumer_Premium,subscription,4295441,149053467.12,,149053467.12,34.7,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,EMEA,Enterprise_SMB,subscription,156582,187764607.13,,187764607.13,1199.15,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,EMEA,Enterprise_Corp,subscription,21568,1032741003.77,,1032741003.77,47883.02,,,,,
AetherSoft,2026-Q3,AetherSoft_Core,EMEA,Advertiser,advertiser,1335,,4499921.09,4499921.09,3370.73,228770772.0,0.0127,2894561.0,1.55,19.67
AetherSoft,2026-Q3,AetherSoft_Digital,NA,Consumer_Standard,ad_supported,3061931,95384929.48,6070364.84,101455294.32,33.13,289340555.0,0.0073,2104875.0,2.88,20.98
AetherSoft,2026-Q3,AetherSoft_Digital,NA,Consumer_Premium,subscription,4372486,231765833.88,,231765833.88,53.01,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,NA,Enterprise_SMB,subscription,105648,116010590.11,,116010590.11,1098.09,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,NA,Enterprise_Corp,subscription,537,50572126.81,,50572126.81,94175.28,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,NA,Advertiser,advertiser,1061,,4439206.05,4439206.05,4183.98,158429909.0,0.0158,2503393.0,1.77,28.02
AetherSoft,2026-Q3,AetherSoft_Digital,EMEA,Consumer_Standard,ad_supported,5683269,103826184.61,4487855.35,108314039.96,19.06,309720866.0,0.0139,4301394.0,1.04,14.49
AetherSoft,2026-Q3,AetherSoft_Digital,EMEA,Consumer_Premium,subscription,4964333,186274262.29,,186274262.29,37.52,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,EMEA,Enterprise_SMB,subscription,145154,195370587.18,,195370587.18,1345.95,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,EMEA,Enterprise_Corp,subscription,5062,220112594.0,,220112594.0,43483.33,,,,,
AetherSoft,2026-Q3,AetherSoft_Digital,EMEA,Advertiser,advertiser,1013,,7762247.31,7762247.31,7662.63,382942640.0,0.0156,5990727.0,1.3,20.27
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,NA,Consumer_Standard,ad_supported,5529331,137082978.69,14340017.93,151422996.62,27.39,609953974.0,0.0086,5251256.0,2.73,23.51
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,NA,Consumer_Premium,subscription,743791,36941746.58,,36941746.58,49.67,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,NA,Enterprise_SMB,subscription,176095,295140261.42,,295140261.42,1676.03,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,NA,Enterprise_Corp,subscription,23230,1834851215.96,,1834851215.96,78986.28,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,NA,Advertiser,advertiser,1048,,17368054.79,17368054.79,16572.57,591353585.0,0.0077,4582081.0,3.79,29.37
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,EMEA,Consumer_Standard,ad_supported,5988068,104854680.68,6856933.59,111711614.27,18.66,350379846.0,0.0132,4612959.0,1.49,19.57
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,EMEA,Consumer_Premium,subscription,6785842,253971218.12,,253971218.12,37.43,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,EMEA,Enterprise_SMB,subscription,27488,33917423.56,,33917423.56,1233.9,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,EMEA,Enterprise_Corp,subscription,9301,311199991.67,,311199991.67,33458.77,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Core,EMEA,Advertiser,advertiser,1814,,7968210.18,7968210.18,4392.62,570380113.0,0.0147,8398993.0,0.95,13.97
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,NA,Consumer_Standard,ad_supported,2618501,58620780.63,6957993.94,65578774.57,25.04,309932915.0,0.0179,5547417.0,1.25,22.45
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,NA,Consumer_Premium,subscription,3530571,168486119.07,,168486119.07,47.72,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,NA,Enterprise_SMB,subscription,73367,126058978.82,,126058978.82,1718.2,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,NA,Enterprise_Corp,subscription,5259,136677337.82,,136677337.82,25989.23,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,NA,Advertiser,advertiser,597,,2382975.56,2382975.56,3991.58,156877917.0,0.0133,2089370.0,1.14,15.19
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,EMEA,Consumer_Standard,ad_supported,8380478,151784468.72,7204696.17,158989164.89,18.97,546224122.0,0.0134,7334350.0,0.98,13.19
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,EMEA,Consumer_Premium,subscription,6461427,206742067.97,,206742067.97,32.0,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,EMEA,Enterprise_SMB,subscription,134113,190545071.63,,190545071.63,1420.78,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,EMEA,Enterprise_Corp,subscription,5041,103126270.06,,103126270.06,20457.5,,,,,
MetaVerseCorp,2026-Q3,MetaVerseCorp_Digital,EMEA,Advertiser,advertiser,750,,1380319.39,1380319.39,1840.43,107669219.0,0.0183,1971571.0,0.7,12.82
AuraEnt,2026-Q3,AuraEnt_Core,NA,Consumer_Standard,ad_supported,2185961,64986947.3,8916927.3,73903874.6,33.81,414933797.0,0.0077,3194821.0,2.79,21.49
AuraEnt,2026-Q3,AuraEnt_Core,NA,Consumer_Premium,subscription,5653666,268656695.99,,268656695.99,47.52,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,NA,Enterprise_SMB,subscription,40602,72505330.9,,72505330.9,1785.76,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,NA,Enterprise_Corp,subscription,13683,224541345.87,,224541345.87,16410.24,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,NA,Advertiser,advertiser,1953,,37695478.57,37695478.57,19301.32,1948086748.0,0.0131,25602729.0,1.47,19.35
AuraEnt,2026-Q3,AuraEnt_Core,EMEA,Consumer_Standard,ad_supported,8315669,146258484.51,12791881.6,159050366.11,19.13,1232358536.0,0.0078,9647562.0,1.33,10.38
AuraEnt,2026-Q3,AuraEnt_Core,EMEA,Consumer_Premium,subscription,756156,23101956.35,,23101956.35,30.55,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,EMEA,Enterprise_SMB,subscription,55197,75624216.0,,75624216.0,1370.08,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,EMEA,Enterprise_Corp,subscription,12638,662538160.91,,662538160.91,52424.29,,,,,
AuraEnt,2026-Q3,AuraEnt_Core,EMEA,Advertiser,advertiser,1913,,18586882.12,18586882.12,9716.09,1050699950.0,0.0163,17141798.0,1.08,17.69
AuraEnt,2026-Q3,AuraEnt_Digital,NA,Consumer_Standard,ad_supported,8377985,205199306.98,11810113.84,217009420.82,25.9,465148241.0,0.0104,4824937.0,2.45,25.39
AuraEnt,2026-Q3,AuraEnt_Digital,NA,Consumer_Premium,subscription,5521037,284635982.95,,284635982.95,51.55,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,NA,Enterprise_SMB,subscription,18224,33526866.27,,33526866.27,1839.71,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,NA,Enterprise_Corp,subscription,8171,252606526.18,,252606526.18,30915.01,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,NA,Advertiser,advertiser,3462,,56268867.52,56268867.52,16253.28,2350412177.0,0.0094,21981671.0,2.56,23.94
AuraEnt,2026-Q3,AuraEnt_Digital,EMEA,Consumer_Standard,ad_supported,11256768,224186692.77,13291012.03,237477704.8,21.1,825016265.0,0.0097,8009773.0,1.66,16.11
AuraEnt,2026-Q3,AuraEnt_Digital,EMEA,Consumer_Premium,subscription,4291376,142973895.63,,142973895.63,33.32,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,EMEA,Enterprise_SMB,subscription,75055,88215519.28,,88215519.28,1175.35,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,EMEA,Enterprise_Corp,subscription,10027,628207131.43,,628207131.43,62651.55,,,,,
AuraEnt,2026-Q3,AuraEnt_Digital,EMEA,Advertiser,advertiser,2836,,18766460.69,18766460.69,6617.23,946844636.0,0.0177,16750210.0,1.12,19.82
FruitTech,2026-Q3,FruitTech_Core,NA,Consumer_Standard,ad_supported,4021335,100468208.05,4301831.05,104770039.1,26.05,207918369.0,0.0051,1053470.0,4.08,20.69
FruitTech,2026-Q3,FruitTech_Core,NA,Consumer_Premium,subscription,5837052,254831533.78,,254831533.78,43.66,,,,,
FruitTech,2026-Q3,FruitTech_Core,NA,Enterprise_SMB,subscription,10420,16217005.48,,16217005.48,1556.33,,,,,
FruitTech,2026-Q3,FruitTech_Core,NA,Enterprise_Corp,subscription,13116,1026383967.7,,1026383967.7,78254.34,,,,,
FruitTech,2026-Q3,FruitTech_Core,NA,Advertiser,advertiser,2159,,66576744.61,66576744.61,30836.84,2192187837.0,0.0248,54401202.0,1.22,30.37
FruitTech,2026-Q3,FruitTech_Core,EMEA,Consumer_Standard,ad_supported,3011576,62019244.57,2957274.52,64976519.09,21.58,232673054.0,0.0078,1807229.0,1.64,12.71
FruitTech,2026-Q3,FruitTech_Core,EMEA,Consumer_Premium,subscription,2246024,90156220.44,,90156220.44,40.14,,,,,
FruitTech,2026-Q3,FruitTech_Core,EMEA,Enterprise_SMB,subscription,31374,23968637.57,,23968637.57,763.96,,,,,
FruitTech,2026-Q3,FruitTech_Core,EMEA,Enterprise_Corp,subscription,15663,902804704.17,,902804704.17,57639.32,,,,,
FruitTech,2026-Q3,FruitTech_Core,EMEA,Advertiser,advertiser,1994,,20953469.63,20953469.63,10508.26,1003999503.0,0.0084,8459007.0,2.48,20.87
FruitTech,2026-Q3,FruitTech_Digital,NA,Consumer_Standard,ad_supported,7046045,134121657.46,2297307.54,136418965.0,19.36,343908315.0,0.0114,3913883.0,0.59,6.68
FruitTech,2026-Q3,FruitTech_Digital,NA,Consumer_Premium,subscription,2780217,129533406.72,,129533406.72,46.59,,,,,
FruitTech,2026-Q3,FruitTech_Digital,NA,Enterprise_SMB,subscription,116740,85729239.16,,85729239.16,734.36,,,,,
FruitTech,2026-Q3,FruitTech_Digital,NA,Enterprise_Corp,subscription,1975,115524472.28,,115524472.28,58493.4,,,,,
FruitTech,2026-Q3,FruitTech_Digital,NA,Advertiser,advertiser,3102,,59198134.48,59198134.48,19083.86,2197406625.0,0.0101,22239509.0,2.66,26.94
FruitTech,2026-Q3,FruitTech_Digital,EMEA,Consumer_Standard,ad_supported,3241638,48603462.6,4298565.24,52902027.84,16.32,374765932.0,0.0125,4689571.0,0.92,11.47
FruitTech,2026-Q3,FruitTech_Digital,EMEA,Consumer_Premium,subscription,5218948,205651611.31,,205651611.31,39.4,,,,,
FruitTech,2026-Q3,FruitTech_Digital,EMEA,Enterprise_SMB,subscription,96659,57983444.27,,57983444.27,599.88,,,,,
FruitTech,2026-Q3,FruitTech_Digital,EMEA,Enterprise_Corp,subscription,16445,420139088.62,,420139088.62,25548.14,,,,,
FruitTech,2026-Q3,FruitTech_Digital,EMEA,Advertiser,advertiser,445,,4025801.04,4025801.04,9046.74,252243173.0,0.0244,6158392.0,0.65,15.96
StreamFlix,2026-Q3,StreamFlix_Core,NA,Consumer_Standard,ad_supported,10772526,350591029.16,48510919.35,399101948.51,37.05,1879539688.0,0.0116,21868709.0,2.22,25.81
StreamFlix,2026-Q3,StreamFlix_Core,NA,Consumer_Premium,subscription,8168048,343058016.0,,343058016.0,42.0,,,,,
